FIPS,State,County,Unemployment_Rate_Index,Median_Income_Index
1000,AL,Alabama,5.9,100
1001,AL,"Autauga County, AL",4.9,112.5
1003,AL,"Baldwin County, AL",5.6,115.6
1005,AL,"Barbour County, AL",7,69.5
1007,AL,"Bibb County, AL",6.6,92.6
1009,AL,"Blount County, AL",4.1,102.2
1011,AL,"Bullock County, AL",5.5,61.6
1013,AL,"Butler County, AL",8.8,77.2
1015,AL,"Calhoun County, AL",7.1,92.2
1017,AL,"Chambers County, AL",6.8,81.2
1019,AL,"Cherokee County, AL",4.6,88.8
1021,AL,"Chilton County, AL",5,96
1023,AL,"Choctaw County, AL",6.7,76.9
1025,AL,"Clarke County, AL",9,84.6
1027,AL,"Clay County, AL",4,78.3
1029,AL,"Cleburne County, AL",4.6,99
1031,AL,"Coffee County, AL",4.4,110.7
1033,AL,"Colbert County, AL",6.6,90.2
1035,AL,"Conecuh County, AL",7.3,80.2
1037,AL,"Coosa County, AL",5.5,81.2
1039,AL,"Covington County, AL",4.9,86.6
1041,AL,"Crenshaw County, AL",5.7,83.7
1043,AL,"Cullman County, AL",4.3,98.3
1045,AL,"Dale County, AL",4.9,87.2
1047,AL,"Dallas County, AL",10.7,65.7
1049,AL,"DeKalb County, AL",4.5,85.5
1051,AL,"Elmore County, AL",4.9,120.4
1053,AL,"Escambia County, AL",6,82.5
1055,AL,"Etowah County, AL",7.7,83.1
1057,AL,"Fayette County, AL",5,85.4
1059,AL,"Franklin County, AL",4.4,86.7
1061,AL,"Geneva County, AL",4.1,83.2
1063,AL,"Greene County, AL",10.9,55.4
1065,AL,"Hale County, AL",9.4,78.7
1067,AL,"Henry County, AL",4.8,93.9
1069,AL,"Houston County, AL",5.4,96.8
1071,AL,"Jackson County, AL",5.3,85.6
1073,AL,"Jefferson County, AL",6.2,104.6
1075,AL,"Lamar County, AL",4.9,82.5
1077,AL,"Lauderdale County, AL",5.5,93.1
1079,AL,"Lawrence County, AL",4.9,92.3
1081,AL,"Lee County, AL",5.2,104.6
1083,AL,"Limestone County, AL",4.3,125
1085,AL,"Lowndes County, AL",13.3,65.5
1087,AL,"Macon County, AL",9.6,66.2
1089,AL,"Madison County, AL",4.6,132.5
1091,AL,"Marengo County, AL",6.2,75
1093,AL,"Marion County, AL",5.1,86.3
1095,AL,"Marshall County, AL",4.2,94.5
1097,AL,"Mobile County, AL",7.9,95.6
1099,AL,"Monroe County, AL",8.2,77.3
1101,AL,"Montgomery County, AL",7.8,101.8
1103,AL,"Morgan County, AL",4.5,105
1105,AL,"Perry County, AL",10.9,57.1
1107,AL,"Pickens County, AL",6.5,77.7
