School,City,State,County,Latitude,Longitude
Alabama A & M University,Normal,AL,Madison ,34.783368,-86.568502
University of Alabama at Birmingham,Birmingham,AL,Jefferson ,33.505697,-86.799345
Amridge University,Montgomery,AL,Montgomery ,32.362609,-86.17401
University of Alabama in Huntsville,Huntsville,AL,Madison ,34.724557,-86.640449
Alabama State University,Montgomery,AL,Montgomery ,32.364317,-86.295677
University of Alabama System Office,Tuscaloosa,AL,Tuscaloosa ,33.207015,-87.529594
The University of Alabama,Tuscaloosa,AL,Tuscaloosa ,33.211875,-87.545978
Central Alabama Community College,Alexander City,AL,Tallapoosa ,32.92478,-85.945266
Athens State University,Athens,AL,Limestone ,34.806793,-86.964698
Auburn University at Montgomery,Montgomery,AL,Montgomery ,32.36736,-86.177544
Auburn University,Auburn,AL,Lee ,32.599378,-85.488258
Birmingham-Southern College,Birmingham,AL,Jefferson ,33.513774,-86.850552
Chattahoochee Valley Community College,Phenix City,AL,Russell ,32.42391,-85.031485
South University-Montgomery,Montgomery,AL,Montgomery ,32.342684,-86.216488
Enterprise State Community College,Enterprise,AL,Coffee ,31.297496,-85.836956
Coastal Alabama Community College,Bay Minette,AL,Baldwin ,30.851343,-87.778193
Faulkner University,Montgomery,AL,Montgomery ,32.384181,-86.21641
Gadsden State Community College,Gadsden,AL,Etowah ,33.994001,-85.991438
New Beginning College of Cosmetology,Albertville,AL,Marshall ,34.27871,-86.196931
George C Wallace Community College-Dothan,Dothan,AL,Dale ,31.315274,-85.465836
George C Wallace State Community College-Hanceville,Hanceville,AL,Cullman ,34.072439,-86.781935
George C Wallace State Community College-Selma,Selma,AL,Dallas ,32.445917,-87.013294
Herzing University-Birmingham,Birmingham,AL,Jefferson ,33.468466,-86.832465
Huntingdon College,Montgomery,AL,Montgomery ,32.351034,-86.284366
Heritage Christian University,Florence,AL,Lauderdale ,34.856153,-87.663051
J. F. Drake State Community and Technical College,Huntsville,AL,Madison ,34.771858,-86.572885
J F Ingram State Technical College,Deatsville,AL,Elmore ,32.582312,-86.392369
Jacksonville State University,Jacksonville,AL,Calhoun ,33.822938,-85.765321
Jefferson State Community College,Birmingham,AL,Jefferson ,33.652535,-86.707233
John C Calhoun State Community College,Tanner,AL,Limestone ,34.645844,-86.949674
Judson College,Marion,AL,Perry ,32.629253,-87.315206
Lawson State Community College,Birmingham,AL,Jefferson ,33.450814,-86.888844
University of West Alabama,Livingston,AL,Sumter ,32.588132,-88.186329
Lurleen B Wallace Community College,Andalusia,AL,Covington ,31.322947,-86.452262
Marion Military Institute,Marion,AL,Perry ,32.623734,-87.322041
Miles College,Fairfield,AL,Jefferson ,33.482442,-86.908751
University of Mobile,Mobile,AL,Mobile ,30.793247,-88.128934
University of Montevallo,Montevallo,AL,Shelby ,33.10625,-86.865099
Northwest-Shoals Community College,Muscle Shoals,AL,Colbert ,34.739788,-87.678089
University of North Alabama,Florence,AL,Lauderdale ,34.806738,-87.681361
Northeast Alabama Community College,Rainsville,AL,Jackson ,34.545471,-85.911664
Oakwood University,Huntsville,AL,Madison ,34.756344,-86.652705
Reid State Technical College,Evergreen,AL,Conecuh ,31.460265,-86.964797
Bishop State Community College,Mobile,AL,Mobile ,30.693972,-88.056982
Samford University,Birmingham,AL,Jefferson ,33.464128,-86.791799
Selma University,Selma,AL,Dallas ,32.420387,-87.032392
Shelton State Community College,Tuscaloosa,AL,Tuscaloosa ,33.120531,-87.56148
Snead State Community College,Boaz,AL,Marshall ,34.201495,-86.169897
University of South Alabama,Mobile,AL,Mobile ,30.696033,-88.178711
Spring Hill College,Mobile,AL,Mobile ,30.694751,-88.138199
Stillman College,Tuscaloosa,AL,Tuscaloosa ,33.200006,-87.585278
Talladega College,Talladega,AL,Talladega ,33.433472,-86.112704
H Councill Trenholm State Community College,Montgomery,AL,Montgomery ,32.350109,-86.343057
Troy University,Troy,AL,Pike ,31.800672,-85.957094
Troy University-Phenix City Campus,Phenix City,AL,Russell ,32.474218,-84.997001
Troy University-Montgomery Campus,Montgomery,AL,Montgomery ,32.376305,-86.310895
Troy University-Dothan Campus,Dothan,AL,Houston ,31.280632,-85.470866
Troy University-Online,Troy,AL,Pike ,31.799583,-85.95802
Troy University-Support Sites,Troy,AL,Pike ,31.799583,-85.95802
Tuskegee University,Tuskegee,AL,Macon ,32.4309,-85.708492
United States Sports Academy,Daphne,AL,Baldwin ,30.639329,-87.91163
Bevill State Community College,Jasper,AL,Walker ,33.836929,-87.266406
University of Alaska Anchorage,Anchorage,AK,Anchorage Municipality,61.190163,-149.82619
Alaska Bible College,Palmer,AK,Matanuska-Susitna Borough,61.598553,-149.111972
University of Alaska Fairbanks,Fairbanks,AK,Fairbanks North Star Borough,64.85756,-147.823146
University of Alaska Southeast,Juneau,AK,Juneau City and Borough,58.384846,-134.638255
Alaska Pacific University,Anchorage,AK,Anchorage Municipality,61.190968,-149.804168
Alaska Vocational Technical Center,Seward,AK,Kenai Peninsula Borough,60.110626,-149.444487
Charter College,Vancouver,WA,Clark ,45.617798,-122.494766
Alaska Career College,Anchorage,AK,Anchorage Municipality,61.181443,-149.856954
University of Alaska System of Higher Education,Fairbanks,AK,Fairbanks North Star Borough,64.857516,-147.848969
Empire Beauty School-Tucson,Tucson,AZ,Pima ,32.235657,-110.927187
Carrington College-Phoenix North,Phoenix,AZ,Maricopa ,33.561689,-112.116105
Carrington College-Mesa,Mesa,AZ,Maricopa ,33.39248,-111.853218
Carrington College-Tucson,Tucson,AZ,Pima ,32.224391,-110.983056
CollegeAmerica-Flagstaff,Flagstaff,AZ,Coconino ,35.194495,-111.657673
Arizona Academy of Beauty-East,Tucson,AZ,Pima ,32.237253,-110.872305
Platt College-Arizona Automotive Institute Arizona,Glendale,AZ,Maricopa ,33.537249,-112.157344
Brookline College-Phoenix,Phoenix,AZ,Maricopa ,33.566102,-112.112473
Arizona State University-Tempe,Tempe,AZ,Maricopa ,33.417721,-111.934383
Arizona Western College,Yuma,AZ,Yuma ,32.689306,-114.495968
University of Arizona,Tucson,AZ,Pima ,32.232672,-110.950815
Southwest University of Visual Arts-Tucson,Tucson,AZ,Pima ,32.252879,-110.927265
Central Arizona College,Coolidge,AZ,Pinal ,32.957092,-111.652501
Charles of Italy Beauty College,Lake Havasu City,AZ,Mohave ,34.477485,-114.332686
Cochise County Community College District,Sierra Vista,AZ,Cochise ,31.564597,-110.246946
Empire Beauty School-Flagstaff,Flagstaff,AZ,Coconino ,35.197151,-111.625936
Empire Beauty School-Chandler,Chandler,AZ,Maricopa ,33.347586,-111.860423
Cortiva Institute-Tucson,Tucson,AZ,Pima ,32.21901,-110.856785
Avalon School of Cosmetology-Mesa,Mesa,AZ,Maricopa ,33.376583,-111.858305
Eastern Arizona College,Thatcher,AZ,Graham ,32.843664,-109.76234
Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,Yavapai ,34.616766,-112.449741
School of Architecture at Taliesin,Scottsdale,AZ,Maricopa ,33.607097,-111.845411
Glendale Community College,Glendale,AZ,Maricopa ,33.570226,-112.190735
Grand Canyon University,Phoenix,AZ,Maricopa ,33.513231,-112.129929
Maricopa Community College System Office,Tempe,AZ,Maricopa ,33.412915,-111.975786
GateWay Community College,Phoenix,AZ,Maricopa ,33.449686,-111.997077
Mesa Community College,Mesa,AZ,Maricopa ,33.390323,-111.871255
Mohave Community College,Kingman,AZ,Mohave ,35.270996,-114.029838
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,Phoenix,AZ,Maricopa ,33.684428,-112.121336
Dine College,Tsaile,AZ,Apache ,36.293328,-109.21684
Northern Arizona University,Flagstaff,AZ,Coconino ,35.188449,-111.653724
Northland Pioneer College,Holbrook,AZ,Navajo ,34.93031,-110.142199
Ottawa University-Phoenix,Phoenix,AZ,Maricopa ,33.572173,-112.113001
Phoenix College,Phoenix,AZ,Maricopa ,33.481361,-112.088293
Cortiva Institute-Scottsdale,Scottsdale,AZ,Maricopa ,33.466153,-111.90807
Pima Community College,Tucson,AZ,Pima ,32.222125,-110.886659
Pima Medical Institute-Tucson,Tucson,AZ,Pima ,32.248067,-110.878783
Pima Medical Institute-Albuquerque,Albuquerque,NM,Bernalillo ,35.104855,-106.59488
Prescott College,Prescott,AZ,Yavapai ,34.5452,-112.477185
Refrigeration School Inc,Phoenix,AZ,Maricopa ,33.448692,-111.989357
Rio Salado College,Tempe,AZ,Maricopa ,33.413309,-111.97417
Roberto-Venn School of Luthiery,Phoenix,AZ,Maricopa ,33.45489,-112.086161
Scottsdale Community College,Scottsdale,AZ,Maricopa ,33.51135,-111.885186
South Mountain Community College,Phoenix,AZ,Maricopa ,33.382406,-112.032635
Arizona Christian University,Glendale,AZ,Maricopa ,33.622952,-112.181776
Universal Technical Institute of Arizona Inc,Avondale,AZ,Maricopa ,33.453005,-112.288123
Empire Beauty School-NW Phoenix,Phoenix,AZ,Maricopa ,33.538093,-112.118168
Yavapai College,Prescott,AZ,Yavapai ,34.547495,-112.453395
University of Arkansas at Little Rock,Little Rock,AR,Pulaski ,34.723254,-92.339778
University of Arkansas for Medical Sciences,Little Rock,AR,Pulaski ,34.749048,-92.320046
Arkansas Baptist College,Little Rock,AR,Pulaski ,34.734751,-92.290555
Arkansas Beauty School-Little Rock,Little Rock,AR,Pulaski ,34.672171,-92.343366
Arkansas Beauty College,Russellville,AR,Pope ,35.27902,-93.135369
Lyon College,Batesville,AR,Independence ,35.777619,-91.625354
Arkansas College of Barbering and Hair Design,North Little Rock,AR,Pulaski ,34.753843,-92.266429
Arkansas College of Barbering and Hair Design,Little Rock,AR,Pulaski ,34.760221,-92.375875
Arthur's Beauty College Inc-Fort Smith,Fort Smith,AR,Sebastian ,35.379955,-94.410967
University of Arkansas,Fayetteville,AR,Washington ,36.070009,-94.176981
University of Arkansas at Pine Bluff,Pine Bluff,AR,Jefferson ,34.244031,-92.018683
Arkansas State University-Beebe,Beebe,AR,White ,35.074176,-91.895351
Arkansas State University-Main Campus,Jonesboro,AR,Craighead ,35.842388,-90.679988
Arkansas Tech University,Russellville,AR,Pope ,35.293237,-93.13562
