NAME,STREET,CITY,STATE,County,LAT,LON
Alabama A & M University,4900 Meridian Street,Normal,AL,Madison County,34.783368,-86.568502
University of Alabama at Birmingham,Administration Bldg Suite 1070,Birmingham,AL,Jefferson County,33.505697,-86.799345
Amridge University,1200 Taylor Rd,Montgomery,AL,Montgomery County,32.362609,-86.17401
University of Alabama in Huntsville,301 Sparkman Dr,Huntsville,AL,Madison County,34.724557,-86.640449
Alabama State University,915 S Jackson Street,Montgomery,AL,Montgomery County,32.364317,-86.295677
University of Alabama System Office,500 University Blvd. East,Tuscaloosa,AL,Tuscaloosa County,33.207015,-87.529594
The University of Alabama,739 University Blvd,Tuscaloosa,AL,Tuscaloosa County,33.211875,-87.545978
Central Alabama Community College,1675 Cherokee Rd,Alexander City,AL,Tallapoosa County,32.92478,-85.945266
Athens State University,300 N Beaty St,Athens,AL,Limestone County,34.806793,-86.964698
Auburn University at Montgomery,7440 East Drive,Montgomery,AL,Montgomery County,32.36736,-86.177544
Auburn University,M,Auburn,AL,Lee County,32.599378,-85.488258
Birmingham-Southern College,900 Arkadelphia Road,Birmingham,AL,Jefferson County,33.513774,-86.850552
Chattahoochee Valley Community College,2602 College Drive,Phenix City,AL,Russell County,32.42391,-85.031485
South University-Montgomery,5355 Vaughn Rd,Montgomery,AL,Montgomery County,32.342684,-86.216488
Enterprise State Community College,600 Plaza Drive,Enterprise,AL,Coffee County,31.297496,-85.836956
Coastal Alabama Community College,1900 U S Highway 31 South,Bay Minette,AL,Baldwin County,30.851343,-87.778193
Faulkner University,5345 Atlanta Hwy,Montgomery,AL,Montgomery County,32.384181,-86.21641
Gadsden State Community College,1001 George Wallace Dr,Gadsden,AL,Etowah County,33.994001,-85.991438
New Beginning College of Cosmetology,421 Martling Road,Albertville,AL,Marshall County,34.27871,-86.196931
George C Wallace Community College-Dothan,1141 Wallace Drive,Dothan,AL,Dale County,31.315274,-85.465836
George C Wallace State Community College-Hanceville,801 Main St NW,Hanceville,AL,Cullman County,34.072439,-86.781935
George C Wallace State Community College-Selma,3000 Earl Goodwin Parkway,Selma,AL,Dallas County,32.445917,-87.013294
Herzing University-Birmingham,280 West Valley Ave,Birmingham,AL,Jefferson County,33.468466,-86.832465
Huntingdon College,1500 East Fairview Avenue,Montgomery,AL,Montgomery County,32.351034,-86.284366
Heritage Christian University,3625 Helton Dr,Florence,AL,Lauderdale County,34.856153,-87.663051
J. F. Drake State Community and Technical College,3421 Meridian St N,Huntsville,AL,Madison County,34.771858,-86.572885
J F Ingram State Technical College,5375 Ingram Rd,Deatsville,AL,Elmore County,32.582312,-86.392369
Jacksonville State University,700 Pelham Road North,Jacksonville,AL,Calhoun County,33.822938,-85.765321
Jefferson State Community College,2601 Carson Rd,Birmingham,AL,Jefferson County,33.652535,-86.707233
John C Calhoun State Community College,6250 U S Highway 31 N,Tanner,AL,Limestone County,34.645844,-86.949674
Judson College,302 Bibb St,Marion,AL,Perry County,32.629253,-87.315206
Lawson State Community College,3060 Wilson Rd SW,Birmingham,AL,Jefferson County,33.450814,-86.888844
University of West Alabama,Station One,Livingston,AL,Sumter County,32.588132,-88.186329
Lurleen B Wallace Community College,1000 Dannelly Blvd.,Andalusia,AL,Covington County,31.322947,-86.452262
Marion Military Institute,1101 Washington St,Marion,AL,Perry County,32.623734,-87.322041
Miles College,5500 Myron Massey Blvd,Fairfield,AL,Jefferson County,33.482442,-86.908751
University of Mobile,5735 College Parkway Drive,Mobile,AL,Mobile County,30.793247,-88.128934
University of Montevallo,Station 6001,Montevallo,AL,Shelby County,33.10625,-86.865099
Northwest-Shoals Community College,800 George Wallace Blvd,Muscle Shoals,AL,Colbert County,34.739788,-87.678089
University of North Alabama,One Harrison Plaza,Florence,AL,Lauderdale County,34.806738,-87.681361
Northeast Alabama Community College,138  Highway 35,Rainsville,AL,Jackson County,34.545471,-85.911664
Oakwood University,7000 Adventist Blvd NW,Huntsville,AL,Madison County,34.756344,-86.652705
Reid State Technical College,100 and Hwy 83,Evergreen,AL,Conecuh County,31.460265,-86.964797
Bishop State Community College,351 North Broad Street,Mobile,AL,Mobile County,30.693972,-88.056982
Samford University,800 Lakeshore Drive,Birmingham,AL,Jefferson County,33.464128,-86.791799
Selma University,"1501 Lapsley St, Dinkins Hall",Selma,AL,Dallas County,32.420387,-87.032392
Shelton State Community College,9500 Old Greensboro Rd,Tuscaloosa,AL,Tuscaloosa County,33.120531,-87.56148
Snead State Community College,102 Elder Street,Boaz,AL,Marshall County,34.201495,-86.169897
University of South Alabama,307 N University Blvd,Mobile,AL,Mobile County,30.696033,-88.178711
Spring Hill College,4000 Dauphin St,Mobile,AL,Mobile County,30.694751,-88.138199
Stillman College,3601 Stillman Boulevard,Tuscaloosa,AL,Tuscaloosa County,33.200006,-87.585278
Talladega College,627 West Battle Street,Talladega,AL,Talladega County,33.433472,-86.112704
H Councill Trenholm State Community College,1225 Air Base Blvd,Montgomery,AL,Montgomery County,32.350109,-86.343057
Troy University,University Avenue,Troy,AL,Pike County,31.800672,-85.957094
Troy University-Phenix City Campus,1510 Whitewater Avenue,Phenix City,AL,Russell County,32.474218,-84.997001
Troy University-Montgomery Campus,231 Montgomery Street,Montgomery,AL,Montgomery County,32.376305,-86.310895
Troy University-Dothan Campus,500 University Drive,Dothan,AL,Houston County,31.280632,-85.470866
Troy University-Online,241 Adams Administration Building,Troy,AL,Pike County,31.799583,-85.95802
Troy University-Support Sites,100 University Park,Troy,AL,Pike County,31.799583,-85.95802
Tuskegee University,"Kresge Center, 3rd Floor",Tuskegee,AL,Macon County,32.4309,-85.708492
United States Sports Academy,One Academy Drive,Daphne,AL,Baldwin County,30.639329,-87.91163
Bevill State Community College,1411 Indiana Avenue,Jasper,AL,Walker County,33.836929,-87.266406
University of Alaska Anchorage,3211 Providence Drive,Anchorage,AK,Anchorage Municipality,61.190163,-149.82619
Alaska Bible College,248 E Elmwood Ave,Palmer,AK,Matanuska-Susitna Borough,61.598553,-149.111972
University of Alaska Fairbanks,1731 South Chandalar Drive,Fairbanks,AK,Fairbanks North Star Borough,64.85756,-147.823146
University of Alaska Southeast,11066 Auke Lake Way,Juneau,AK,Juneau City and Borough,58.384846,-134.638255
Alaska Pacific University,4101 University Dr,Anchorage,AK,Anchorage Municipality,61.190968,-149.804168
Alaska Vocational Technical Center,PO Box 889,Seward,AK,Kenai Peninsula Borough,60.110626,-149.444487
Charter College,"17200 S.E. Mill Plain Boulevard, Suite 100",Vancouver,WA,Clark County,45.617798,-122.494766
Alaska Career College,1415 E Tudor Road,Anchorage,AK,Anchorage Municipality,61.181443,-149.856954
