FIPS_Code,State,Area_name,Rural_urban_continuum_code_2013,Urban_influence_code_2013,Metro_2013,Civilian_labor_force_2020,Employed_2020,Unemployed_2020,Unemployment_rate_2020,Median_Household_Income_2019,Med_HH_Income_Percent_of_State_Total_2019
0,US,United States,,,,"160,611,064","147,677,360","12,933,704",8.1,"65,712",
1000,AL,Alabama,,,,"2,230,118","2,099,062","131,056",5.9,"51,771",100
1001,AL,"Autauga County, AL",2,2,1,"25,838","24,576","1,262",4.9,"58,233",112.5
1003,AL,"Baldwin County, AL",3,2,1,"96,763","91,338","5,425",5.6,"59,871",115.6
1005,AL,"Barbour County, AL",6,6,0,"8,587","7,982",605,7,"35,972",69.5
1007,AL,"Bibb County, AL",1,1,1,"8,640","8,067",573,6.6,"47,918",92.6
1009,AL,"Blount County, AL",1,1,1,"24,661","23,653","1,008",4.1,"52,902",102.2
1011,AL,"Bullock County, AL",6,6,0,"4,818","4,553",265,5.5,"31,906",61.6
1013,AL,"Butler County, AL",6,6,0,"9,056","8,255",801,8.8,"39,944",77.2
1015,AL,"Calhoun County, AL",3,2,1,"46,240","42,980","3,260",7.1,"47,747",92.2
1017,AL,"Chambers County, AL",6,5,0,"15,865","14,787","1,078",6.8,"42,015",81.2
1019,AL,"Cherokee County, AL",6,6,0,"11,513","10,983",530,4.6,"45,982",88.8
1021,AL,"Chilton County, AL",1,1,1,"19,592","18,618",974,5,"49,692",96
1023,AL,"Choctaw County, AL",9,10,0,"4,621","4,313",308,6.7,"39,808",76.9
1025,AL,"Clarke County, AL",7,11,0,"7,769","7,069",700,9,"43,822",84.6
1027,AL,"Clay County, AL",9,10,0,"6,083","5,838",245,4,"40,562",78.3
1029,AL,"Cleburne County, AL",8,4,0,"5,737","5,475",262,4.6,"51,276",99
1031,AL,"Coffee County, AL",4,5,0,"21,502","20,558",944,4.4,"57,299",110.7
1033,AL,"Colbert County, AL",3,2,1,"23,558","22,008","1,550",6.6,"46,683",90.2
1035,AL,"Conecuh County, AL",7,11,0,"4,529","4,198",331,7.3,"41,539",80.2
