COVID-19 Vaccinations in the United States
Date generated: Thu Dec 09 2021 16:28:26 GMT-0600 (Central Standard Time)
'Other' includes doses of vaccine administered or delivered that are not from Pfizer-BioNTech Moderna or J&J.

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from Other manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from Other manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Other 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Other 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Other 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Other 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop,People 5+ with at least One Dose by State of Residence,Percent of 5+ Pop with at least One Dose by State of Residence,People 5+ Fully Vaccinated by State of Residence,Percent of 5+ Pop Fully Vaccinated by State of Residence,People 5+ Fully Vaccinated_Moderna_Resident,People 5+ Fully Vaccinated_Pfizer_Resident,People 5+ Fully Vaccinated_Janssen_Resident,People 5+ Fully Vaccinated_Other 2-dose Manuf_Resident,5+ Doses Administered by State where Administered,Doses Administered per 100k of 5+ pop  by State where Administered,Doses Delivered per 100k of 5+ pop,People who have received a booster dose,Percent of fully vaccinated people with booster doses,People 18+ who have received a booster dose,Percent of fully vaccinated people 18+ with booster doses,People 50+ who have received a booster dose,Percent of fully vaccinated people 50+ with booster doses,People 65+ who have received a booster dose,Percent of fully vaccinated people 65+ with booster doses,People with Moderna booster dose,People with Pfizer booster dose,People with Janssen booster dose,People with booster dose of an Other manufacturer,Total Count People w/Booster Primary Pfizer Minus TX,Total Count People w/Booster Primary Moderna Minus TX,Total Count People w/Booster Primary J&J Minus TX,Total Count People w/Booster Primary Other Minus TX,Total Count People w/Booster Booster Pfizer Minus TX,Total Count People w/Booster Booster Moderna Minus TX,Total Count People w/Booster Booster J&J Minus TX,Total Count People w/Booster Booster Other Minus TX,Count People Primary Pfizer Booster Pfizer,Count People Primary Pfizer Booster Moderna,Count People Primary Pfizer Booster J&J,Count People Primary Pfizer Booster Uknown,Count People Primary Moderna Booster Pfizer,Count People Primary Moderna Booster Moderna,Count People Primary Moderna Booster J&J,Count People Primary Moderna Booster Uknown,Count People Primary J&J Booster Pfizer,Count People Primary J&J Booster Moderna,Count People Primary J&J Booster J&J,Count People Primary J&J Booster Other,Count People Primary Other Booster Pfizer,Count People Primary Other Booster Moderna,Count People Primary Other Booster J&J,Count People Primary Other Booster Other,Percent People Primary Pfizer Booster Pfizer,Percent People Primary Pfizer Booster Moderna,Percent People Primary Pfizer Booster J&J,Percent People Primary Pfizer Booster Other,Percent People Primary Moderna Booster Pfizer,Percent People Primary Moderna Booster Moderna,Percent People Primary Moderna Booster J&J,Percent People Primary Moderna Booster Other,Percent People Primary J&J Booster Pfizer,Percent People Primary J&J Booster Moderna,Percent People Primary J&J Booster J&J,Percent People Primary J&J Booster Other,Percent People Primary Other Booster Pfizer,Percent People Primary Other Booster Moderna,Percent People Primary Other Booster J&J,Percent People Primary Other Booster Uknown
United States,588422575,177231,227841,477433765,143802,441248695,170855,237468725,71.5,216653622,83.9,200717387,60.5,185525645,71.8,339306255,220658420,28457900,0,17020935,182451675,277472166,488989,72464896,112073050,16048210,131231,72381276,96997947,16018663,127759,N/A,71.5,N/A,83.9,56.4,172125625,66.6,237468725,55699115,95,47655358,87,22732825,22579926,2285852,56755,126498133,230870,1073920,232294603,81.9,198689979,70.1,72460267,110054742,16044107,130863,470207490,165846,207542,237430134,76,200707634,64.3,72461741,112069399,16045298,131196,477387572,152879,188437,49900089,24.9,49845356,26.9,36848954,38,23408235,49.1,21995932,27153056,739425,11676,24679265,19284282,2391300,N/A,25321500,20415047,684753,11576,23328990,1329693,15450,5132,1201282,18061707,16795,4498,742133,996705,651785,677,49095,26942,723,1269,94.5,5.4,0.1,0,6.2,93.7,0.1,0,31,41.7,27.3,0,62.9,34.5,0.9,1.6
Alaska,1300725,177805,235826,985628,134732,902469,163621,466770,63.8,419166,76,404199,55.3,369799,67,718205,500420,82100,0,40044,383649,561111,824,149409,218307,36389,94,149013,184452,36246,88,N/A,63.8,N/A,76,50.7,336847,61.1,466770,84613,92.4,76757,83.8,42305,30981,3433,38,201414,219913,1420190,452275,74.3,398293,65.4,149404,212410,36385,94,965213,158523,213627,466713,68.6,404189,59.4,149406,218304,36385,94,985561,144836,191152,119007,29.4,118657,32.1,80041,46.2,45112,58.8,53879,63748,1367,13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alabama,7935800,161850,208022,5379834,109721,5090406,133436,2809478,57.3,2637406,69.1,2288180,46.7,2171510,56.9,4180420,3383780,371600,0,158043,2367826,2853648,317,969550,1165739,152349,542,969089,1049618,152263,540,N/A,57.3,N/A,69.1,44,2042278,53.5,2809478,779515,91.7,670694,78.9,356108,278516,35715,355,1681540,197866,933803,2783080,66.5,2283524,54.5,969538,1161104,152340,542,5348285,127739,189540,2809139,61,2288122,49.6,969546,1165692,152342,542,5379450,116721,172187,495138,21.6,494507,22.8,409517,31.7,282408,42.1,239109,247828,8174,27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arkansas,4903950,162501,211592,3633151,120391,3365998,145233,1851442,61.4,1694726,73.1,1510981,50.1,1400017,60.4,2647350,2016000,240600,0,111356,1565618,1952639,3538,630549,773872,105583,977,629433,664748,105057,779,N/A,61.4,N/A,73.1,47,1309340,56.5,1851442,479710,91.6,406917,77.7,228503,162819,15149,446,1068736,204003,936079,1817454,71.1,1499381,58.6,630537,762573,105461,810,3587675,140294,191767,1849986,65.4,1510809,53.4,630538,773829,105466,976,3631632,128356,173325,373384,24.7,372996,26.6,291736,37.2,197843,48.6,179774,188185,5030,395,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
American Samoa,78710,166083,251189,71187,150209,57450,183341,37881,79.9,29605,94.5,31594,66.7,26175,83.5,57410,20700,600,0,547,19119,51520,1,8594,22444,556,0,8577,17043,555,0,N/A,79.9,N/A,94.5,65.5,25633,81.8,37881,2945,89.8,2682,81.8,1132,1525,25,0,6033,184045,2401160,35782,95,31585,85.6,8593,22436,556,0,69077,187114,213208,37880,87.9,31594,73.3,8594,22444,556,0,71186,165126,182579,2294,7.3,2286,8.7,1299,13.5,505,18.8,706,1588,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arizona,12062310,165720,213928,9908217,136126,9150514,162287,4756931,65.4,4318285,76.6,4043529,55.6,3742846,66.4,6806550,4688060,567700,0,330121,3963853,5594858,19385,1543527,2186087,308437,5478,1542877,1886568,307993,5408,N/A,65.4,N/A,76.6,51.8,3471899,61.6,4756931,1231177,94.1,1083161,82.8,527488,504260,48443,2970,2962581,226387,921749,4657442,75,4018087,64.7,1543493,2160929,308192,5473,9780495,157596,194363,4756270,69.4,4043243,59,1543509,2186054,308202,5478,9907424,144657,176120,939650,23.2,938122,25.1,717538,35.4,482312,44.5,402243,525938,11097,372,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bureau of Prisons,292880,N/A,N/A,265394,N/A,265392,N/A,132517,N/A,132515,N/A,126701,N/A,126700,N/A,149760,127020,16100,0,13489,111767,140106,32,49111,64542,13048,0,49111,64542,13047,0,N/A,N/A,N/A,N/A,0,114736,0,132517,3678,0,3573,0,1713,1672,188,0,8268,0,0,132515,0,126700,0,49111,64542,13047,0,265392,0,0,132515,0,126700,0,49111,64542,13047,0,265392,0,0,18623,14.7,18623,14.7,6631,23.4,1190,33.3,9834,8360,407,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
California,72484765,183449,236742,61693063,156137,56341267,184016,31658752,80.1,28543983,93.2,25429366,64.4,23196232,75.8,42645765,26438300,3400700,0,2128999,23386160,36162436,15468,9056561,14359413,2008979,4413,9030590,12160332,2001213,4097,N/A,80.1,N/A,93.2,60.3,21590906,70.5,31658752,6381433,95,5012539,85.9,2527050,2285396,198744,1349,13844589,237141,1241580,30895821,91.8,25109993,74.6,9055828,14041300,2008475,4390,60607859,180133,215432,31654147,85.3,25428255,68.5,9056217,14359005,2008620,4413,61687648,166146,195227,6258488,24.6,6252591,27,4254013,39,2536728,50.6,2796832,3350928,110367,361,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Colorado,10403005,180647,231218,8940101,155244,8205803,182383,4177839,72.5,3762809,83.6,3715279,64.5,3398997,75.5,6017185,3917120,468700,0,312917,3511941,5108152,7091,1369721,2050727,292878,1953,1365991,1739464,291659,1883,N/A,72.5,N/A,83.6,60.7,3182235,70.7,4177839,815353,95,745567,88.5,355809,362912,26144,702,2052731,243673,1234910,4050353,82.1,3655539,74.1,1369693,1991047,292851,1948,8752113,177310,210755,4177557,77,3715222,68.5,1369708,2050705,292856,1953,8939782,164742,191706,1193603,32.1,1192111,35.1,790800,50.2,472784,63.4,550163,627403,15891,146,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Connecticut,7020885,196923,247402,6205565,174055,5684743,200319,3046617,85.5,2752296,95,2607228,73.1,2386573,84.1,4010625,2689960,320300,0,229145,2334183,3641053,1184,909750,1477790,219257,431,909263,1257911,219075,324,N/A,85.5,N/A,95,68.2,2210468,77.9,3046617,702849,95,594140,94.3,233769,338472,21804,95,1639821,260188,1114000,2969094,95,2574951,82.9,909460,1445887,219176,428,6094436,196218,226047,3045349,90,2606794,77,909543,1477643,219178,430,6203887,183353,207499,734727,28.2,734311,30.8,560602,44,344354,58,338975,386726,9011,15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
